innovate adj_创造性的_n_创新_v_创新
nomenclature n_术语
nonconformity n_不遵从（传统）
nonpayment n_拒付
nonprofessional['n?npr?'fe??n?l]? adj_业余的
nonviable adj_不能生长发育的
nonviolent adj_非暴力的
notch v_刻凹痕
notoriety n_恶名
notoriously adv_声名狼藉地
nullify "v_使…无效,_废除"
numb adj_麻木的
nutrient n_营养物
nutrition n_营养学
obdurate adj_顽固的
obedience n_服从
obfuscate v_使…迷乱
observational adj_基于观察的
obsessively adv_过分地
obtuse adj_迟钝的
occupational adj_职业的
oceanic adj_海洋的
octogenarian n_八旬老人（八十到八十九岁间）
offspring n_后代
offstage adv_在台下
omission n_疏漏
onerous adj_繁重的，_麻烦的
onset n_开始
opacity n_晦涩难懂
opaque adj_难懂的
operative adj_有效的
opium n_鸦片
opportunistic adj_投机取巧的
optimistically adv_乐观地
opulent adj_富裕的
oration n_致辞
orderliness n_井然有序，_整齐
ordinarily adv_通常
orientation n_适应
originality n_原创性
originally adv_起初
ostensibly adv_表面上地
ostentation n_卖弄
outlandish adj_奇异的
outlaw n_罪犯
outmoded adj_过时的
outnumber v_数量上超过
outspoken adj_直言不讳的
outstrip v_超过
ovation n_热烈鼓掌
overbearing adj_傲慢的
overcrowd v_过度拥挤
overemphasize[?uv?'emf?saiz]? v_过分强调
overestimate v_过高估计，_过分评价
overhaul v_仔细检查
overjoyed adj_极度高兴的
overlap v_重叠，_重复
overly adv_过度地
overrate v_高估
overrule v_否决
oversee v_监督
overshadow v_使…显得不重要
overt adj_明显的
overturn v_推翻
overwhelmingly adv_压倒一切地
overwrought adj_过度兴奋的
oxygen n_氧气
pageant n_盛大华丽的情景
palatial adj_宫殿般的
paleolithic adj_旧石器时代的
parable n_寓言
parabola n_抛物线
parity n_对等
parsimony n_吝啬，_过度节俭
particularity n_过分挑剔
pasture n_草原
patent n_专利
patronage n_资助
paucity n_少数
pearlike adj_像梨一样的
pedantry n_迂腐
peevish adj_暴躁的
pejorative adj_贬低的
perceptible adj_可察觉的
perception n_观念
perceptual adj_知觉的，_感觉的
performer n_演奏者
perfumed adj_有香味的
perimeter n_周长
perish v_消亡
permeate v_渗透，_弥漫
permissive adj_纵容的
perquisite n_福利
persevere v_坚持
personification n_化身；_拟人化
perspicuous adj_易懂的
persuasion n_说服
pertain v_适合
pervade v_遍及
petulant adj_暴躁的
phlegmatic adj_冷漠的
phobia n_恐惧症
photolithography n_光刻法
physically adv_按自然法则
physiology n_生理机能
piety n_虔诚
piousness n_虔诚
pitfall n_陷阱
pitiful adj_可怜的
placid adj_平静的
placidity n_安静
platitudinous adj_陈词滥调的
plea n_恳求
plead v_辩解
plethora n_过量
plunder v_掠夺，_抢劫
poignant adj_令人沉痛的
poise n_镇静
poised adj_镇静的
polarize v_极端化
politeness n_礼貌
politicize v_使…政治化
poll v_投票
pollen n_花粉
ponder v_考虑
ponderous adj_乏味的
posit v_假设
poster n_海报
postmodern adj_后现代主义的
potshot n_肆意抨击
pottery n_陶器
pragmatist n_实用主义者
prankster n_恶作剧的人
precariousness n_不稳定
precisely adv_准确地
preconception n_先入之见，_偏见
predator n_捕食者
predisposition n_倾向
predominant adj_主要的，_占优势的，_显著的
predominate v_占主导地位
preeminence n_卓越
preemptive adj_优先购买的
prehistoric adj_史前的
premeditated adj_预谋的
prenatal adj_出生前的
preoccupy v_使…专注于
presage v_预示
presidential adj_总统的
prestigious adj_声望很高的
pretense n_借口
pretentious adj_炫耀的
prevalence n_流行
preventable adj_可预防的
prevention n_预防
preventive adj_预防的
prig n_自命清高的人
primacy n_首位
primate n_灵长类动物
pristine adj_原始的，_以前的
probe n_探测
probity n_正直
problematical adj_有问题的
proclamation n_宣言
proclivity n_倾向
procurement n_采购
prodigality n_铺张浪费
prodigious adj_巨大的
profanity n_亵渎的言论
profligacy n_浪费
profusion n_丰富
prolific adj_多产的
prolifically adv_丰富地
prolong v_延长
prompting n_激励
promptness n_敏捷，_迅速
promulgation n_公布
pronouncement n_声明；_判决
propaganda n_宣传
propound v_提出（问题）
prosaic adj_无趣的
prosper v_兴旺
protestation n_抗议
provocative adj_挑衅的
prudery n_过分拘谨，_假正经
pseudoscience n_伪科学
psychiatrist n_精神病医生
psychiatry n_精神病学
psychologically adv_心理上
psychologist n_心理学家
psychology n_心理学
psychotherapist n_精神治疗医师
psychotic adj_精神病的
Puritanism n_清教主义
purposely adv_故意地
purposiveness n_目的性
purview n_范围
pyramid n_金字塔
quack n_庸医
qualification n_限制
qualm n_紧张不安
quarantine n_隔离
quash v_镇压
quest n_追求
quibble v_挑剔
quiescence n_静止状态
quotidian adj_每日的
raciness n_辛辣
radicalism n_激进极端主义
radiocarbon n_放射性碳
ramshackle adj_摇摇欲坠的
rancor n_恨意
rank-and-file adj_普通成员的
ration v_限量供应
rationally adv_合理地
ravage v_破坏
reactionary n_反动分子
reactive adj_反应的
readable adj_读起来津津有味的
reaffirm v_再确认，_重申
reaffirmation n_重申
realization n_领悟
reappear v_重新出现
reasonably adv_适度地
reassessment n_重新评估
rebuttal n_反驳
recalibration n_重新校准
recant v_宣布放弃
recantation n_改变论调
recapitulation n_概括
recast v_彻底改动
recess n_壁龛
recipient n_接受者
reciprocally adv_相互地
reciprocation n_互换
recital n_独唱会
recitalist n_独奏家
reclaim v_开垦
recognizable adj_可辨认的
recombinant adj_重组的
reconnaissance n_事先考察
reconstruction n_重建
recording n_唱片
recourse n_依赖
recur v_重现
recurrent adj_周期性的
redemptive adj_赎回的
redirect v_改变方向
rediscover v_重新发现
redistribution n_重新分配
redress v_纠正；_赔偿
reevaluate v_重新评估
reexamination n_再检查
referent n_对象
reflective adj_沉思的
refutation n_辩驳
regality n_王权
regenerative adj_再生的
regimental adj_团队的
regimentation n_严格控制
regional adj_地区性的
regrettable adj_可惜的
rehabilitative adj_复原的
reinforcement n_增强
reinstate v_恢复
rekindle v_重新点燃
relegation n_贬谪，_降级
remelt v_重熔
reminder n_提示
remission n_（疾病等的）减轻
remuneration n_报酬
renewal n_革新
renounce v_宣布放弃
reparation n_修理；_补偿
repeal v_废止，_撤销
repeatable adj_可重复的
repel v_抵制
replete adj_塞满的
reprehensible adj_应该谴责的
reprint v_再版
reproof n_责备
repugnance n_厌恶
repugnant adj_反感的
reputed adj_名誉好的
resemblance n_相似
resent v_厌恶
reservation n_保留意见
reside v_属于，_存在
residency n_住处
resilience n_恢复力
resilient adj_可迅速恢复的
resourceful adj_随机应变的
respecter n_尊敬的人
respiration n_呼吸
respiratory adj_呼吸的
resplendent adj_灿烂的
responsive adj_敏感的
restatement n_重述
restive adj_难驾驭的
restlessness n_不安定
restoration n_恢复
resurge v_复活
resurgence n_再现
resuscitate v_恢复
retail n_零售
retaliate v_报复
retaliatory adj_报复性的
retard v_妨碍
retrieve v_恢复
retrospective adj_回顾的
reverberate v_回响
revere v_尊敬
revisionist n_修正社会主义者
revoke v_撤销，_宣告无效
ribaldry n_猥亵的话
richness n_丰富
ridged adj_有脊状线的，_脊状的
rift n_分歧
risky adj_危险的
ritual n_仪式
riveting adj_令人着迷的
rocky adj_岩石的
romance n_传奇
romanticism n_浪漫主义
rudeness n_无礼
rueful adj_怜悯的
ruff n_飞边（尤盛行于_和_世纪的白色轮状皱领）
ruse n_诡计
ruthless adj_无情的
sabotage v_破坏
salvation n_救助
sanctuary n_保护区
sanguine adj_怀着希望的
sarcasm n_挖苦，_讽刺
sartorial adj_和服饰有关的
satirize v_讽刺，_挖苦
satisfaction n_满足感
saturated adj_湿透的
savage adj_凶恶的；_野蛮的
savagery n_残暴行为
scarcity n_不足
sceptic n_怀疑（论）者
scintillating adj_才气横溢的
"scoff" v_嘲笑，_嘲弄
scourge n_灾难
script n_剧本
scruple v_顾虑；_踌躇
scrupulous adj_小心谨慎的
scrutiny n_仔细的研究，_周密的调查
seafloor n_海底
sectarianism n_宗派主义
secular adj_世俗的
seduce v_诱惑
seductive adj_诱惑的
seedling n_幼苗
seeker n_寻求者
segregate v_使…隔离
selfishly adv_自私地
selflessness n_无私
semantic adj_语义的
senescent adj_衰老的
senseless adj_无知觉的；_愚蠢的
sensibly adv_明智地
sensitize v_使变得敏感
sentimental adj_多愁善感的
sentimentality n_多愁善感
sequencing n_排序
serene adj_安静祥和的
setback n_阻碍；_退步
shackle n_束缚
shipment n_装运
shoddy adj_劣质的
shunt v_转轨；_调往
sibling n_兄弟姐妹
silicon n_硅
simplemindedness['simplma?ndidness]? n_简单
singularity n_特异
siren n_警笛
sketchy adj_概略的，_不完备的
skillfully adv_巧妙地
skillfulness n_有技巧
skyscraper n_摩天大楼
slipperiness n_光滑
sluggish adj_缓慢的
slyly adv_巧妙地
smug adj_自以为是的
snobbery n_势利
snub v_冷落
soar v_猛增
sobriety n_持重
sociability n_善于交际
software n_软件
solicit v_询问，_征求
solicitous adj_关切的
soliloquy n_（戏剧中）独白
solitary adj_单独的，_独居的
solvable adj_可以解决的
sonata n_奏鸣曲
sophistication n_世故
sordid adj_卑鄙的
sovereignty n_主权
sparse adj_稀少的
specialization n_专门化
specificity n_专一性
spectator n_观众
speculate v_思索
speculative adj_推理的
speedy adj_快速的
spiral adj_螺旋形的
spokesperson n_发言人
spontaneously adv_自然地
sportsmanship n_体育精神
sprawl v_蔓延
squander v_浪费
stabilize v_使…稳定
stalwart adj_健壮的；_坚定的
stance n_态度
stark adj_完全的
stasis n_停滞
statically adv_静态地，_静止地
statute n_法律
stellar adj_恒星的
stereochemistry[steri:?u'kemistri:]? n_立体化学
stilted adj_不自然的
stimulus n_刺激
stint v_吝惜，_节省
stipulation n_规定
strata n_阶层
streak n_条纹；_倾向
striving n_努力
structurally adv_在结构上
stultify v_使…显得愚蠢
stun v_使…吃惊
stymie v_妨碍
subdue v_减弱
subjection n_征服
subjectivity n_主观性
subjunctive n_虚拟语气
submission n_屈服
subordination n_附属
subservient adj_从属的
subsume v_包含
subtly adv_精细地
succumb v_死
suffrage n_选举权
sully v_玷污，_弄脏
sumptuous adj_华丽的
superbly adv_极好地
superficiality n_肤浅的东西
supernatural adj_不可思议的
supernova n_超新星
superstructure n_上层结构
supervision n_监管
supplant v_取代
supplementary adj_补充的
supplier n_供应商
supposition n_推测
surge n_猛增
surly adj_粗暴的，_乖戾的
surmise v_推测
surmount v_克服
survival n_生存
suspension n_暂停
sweeten v_（使）变甜
synoptic adj_概要的
syntactic adj_句法的，_语法的
syntactical adj_依照句法的
synthetically adv_综合地，_合成地
tact n_机智
tangential adj_离题的
tangible adj_实际的
tangle v_纠缠
tantalize v_使…着急
tantalizingly adv_诱人地
tantamount adj_等价的，_等效的
tarnish v_败坏，_玷污（名誉等）
taunt v_嘲弄
tawdry adj_廉价而俗丽的
tease v_取笑
technocrat n_技术专家
teem v_充满
temerity n_鲁莽
tempestuous adj_暴乱的
tenderness n_温柔
tenor n_男高音
tenuous adj_脆弱的
tepid adj_不热情的
terrain n_地形，_地势
terrorize v_恐吓
testimony n_证言
theatricality n_戏剧风格
theft n_盗窃
theoretically adv_理论上
therapist n_治疗专家
therapy n_治疗
thicken v_使变复杂
throwback n_返祖
thwart v_阻碍
timeliness n_及时
tolerable adj_还可以的
topple v_推翻
torment n_折磨
totalitarianism n_极权主义
totality n_全部
traceable adj_可追溯的
tractable adj_温顺的，_易于管教的
trainee n_实习生
tranquility n_平静
transaction n_执行
transcend v_胜过
transcendental adj_超凡的
transcription n_抄写
transferable adj_可转移的
transgression n_违反
transient adj_短暂的
transitional adj_过渡的
transitoriness n_短暂，_转瞬即逝
transmute v_使…变形
transplantation n_移植
trappings n_象征
treatise n_论述
triumphal adj_凯旋的
triviality n_琐事
trivialize v_使…显得不重要
trophy n_奖杯
trumpeter n_小号手
trustworthy adj_值得信赖的
tussle n_争辩
typify v_代表
typographical adj_印刷上的
tyrant n_残暴的人
umbrage n_愤怒
unacceptable adj_不能接受的
unadorned adj_朴素的
unambiguous adj_清楚明白的
unarticulated adj_未阐明的
unassailable adj_无争论余地的，_无懈可击的
unavailing adj_无效的
unaware adj_没有意识到的
unbalance v_使…失去平衡
unbiased adj_公正的
uncanny adj_不可思议的
unchallenged adj_未受质疑的
uncharted adj_地图上没标明的
unchecked adj_未加抑制的
unclear adj_不清楚的
unconcealable adj_隐藏不了的
unconcerned adj_不关心的
unconfirmed adj_未证实的
unconscionable adj_过分的
uncontrollable adj_不可控制的
uncontrolled adj_不受控制的
"uncontroversial[?n,kɑntr?'v?:??l]?" adj_未引起争论的
unconventional adj_非传统的
unconvincing adj_不足以令人相信的
uncorrelated n_没有关联的
uncorrupted adj_未腐败的
uncritical adj_不置可否的
unctuous adj_假装殷勤的
undefended adj_无辩护人的
underrate v_低估
underscore v_强调
understatement n_轻描淡写
understock v_存货不足
underutilized adj_未充分使用的
undeserved adj_不该得到的
undeservedly adv_不应得地
undeserving adj_不值得…的
undesirable adj_不受欢迎的
undiscovered adj_未被发现的
undivided adj_未分开的
uneasiness n_不安，_担忧
unemployment n_失业
unending adj_无止境的
unenthusiastic adj_不热情的
unequivocal adj_明确的
unexceptionable adj_无懈可击的
unexceptional adj_普通的
"unexciting" adj_单调乏味的
unexpectedly adv_出乎意料地
unfailingly adv_无穷无尽地
unfairly adv_不公平地
unfathomable adj_深不可测的
unfounded adj_缺乏事实依据的
unfriendly adj_不友好的
ungainly adj_不雅的；_笨拙的
ungovernable adj_难管的
unidentified adj_未确认的
unidimensional adj_一维的
unimaginative adj_缺乏想象力的
unimportant adj_不重要的
uninfected adj_未受感染的
uninitiated adj_缺乏经验的
unintelligible adj_难以理解的
uninterested adj_不感兴趣的
univocal adj_单一意思的；_意义明确的
unjustifiable adj_没有道理的
unjustified adj_不正当的
unleash v_释放
unlimited adj_无限的
unliterary adj_不矫揉造作的
unmoved adj_无动于衷的
unnoteworthy adj_普通的，_不显著的
unobservable adj_观察不出的
unoriginal adj_非独创的
unorthodox adj_非正统的
unpalatable adj_不好吃的
unprecedented adj_前所未有的
unpremeditated['?npri'mediteitid]? adj_偶然的
unprepared adj_还没有准备好的
unpretentious adj_谦虚的
unproductive adj_没有收获的
unprofitable adj_没有利润的
unproven adj_未经证明的
unqualified adj_不合格的
unregulated adj_不规范的，_紊乱的
unrelieved adj_未被缓解的
unremitting adj_不断的
unrepresentative[??nrepri'zent?tiv]? adj_非代表性的
unresolved adj_未解决的
unresponsive adj_反应迟钝的
unrestrained adj_无限制的
unruly adj_难驾驭的
unscathed adj_未受伤害的
unselfish adj_无私的
unsettle v_使心神不宁
unsophisticated adj_天真无邪的
unspoken adj_未说出口的
unstudied adj_不造作的
unsure adj_不确定的
unsympathetic adj_冷漠的，_无同情心的
untainted adj_无污点的
untapped adj_未使用的
untested adj_未测试的
unthinkable adj_难以想象的
untimely adv_不合时宜地
untraditional adj_不符合传统的
untried adj_未经试验的
untrustworthy adj_靠不住的
untruth n_虚假，_谎言
unworldly adj_超凡脱俗的
unworthy adj_没有价值的
unyielding adj_坚强的
upgrade v_升级
urban adj_城市的
urbanity n_文雅
urgency n_紧急（的事）
usable adj_可用的
usefulness n_有用
vacillate v_犹豫
vagrant adj_流浪的
vagueness n_模糊，_含糊
valedictory adj_告别的
valiant adj_勇敢的
validation n_确认
vandalism n_破坏行为
variability n_易变
variance n_差异
vegetation n_植物，_植被
venerate v_尊敬
veracity n_真实性
verbose adj_啰嗦的
verdict n_裁决
verification n_确认
verisimilitude n_貌似真实
veritable adj_真正的
vernacular n_日常用语
verse n_诗歌
versed adj_精通的
vestige n_遗迹
vicariously adv_间接感受到地
victimize v_牺牲
vigilant adj_警惕的
vigor n_活跃
villain n_坏人，_反派演员
vindicate v_证明…正确
violinist n_小提琴家
virtuoso n_艺术大师，_艺术鉴赏家
visibly adv_明显地，_显然
vitality n_活力，_生命力
vocation n_职业
vocational adj_职业的
volatile adj_不稳定的
voluntarily adv_自愿地
voyeur n_偷窥狂
vulgarity n_俗语
vulnerability n_弱点
waggish adj_幽默的
walrus n_海象
wanderlust n_旅游热
warning n_警告
watercolor adj_水彩（画）的
whale n_鲸
whereby conj_凭借
wholeness n_整体
wilderness n_荒地
wildness n_未开化
windmill n_风车
withhold v_保留
witticism n_俏皮话
woe n_困难
wrongdoer n_做坏事的人
wrongdoing n_坏事
wrongheaded adj_固执的
yearlong adj_整整一年的
yearn v_渴望
